# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
#[BULBASAUR]
#Name = Bulbasaur
#Types = GRASS,POISON
#BaseStats = 45,49,49,45,65,65
#GenderRatio = FemaleOneEighth
#GrowthRate = Parabolic
#BaseExp = 64
#EVs = SPECIAL_ATTACK,1
#CatchRate = 45
#Happiness = 50
#Abilities = OVERGROW
#HiddenAbilities = CHLOROPHYLL
#Moves = 1,TACKLE,1,GROWL,3,VINEWHIP,6,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,18,SEEDBOMB,21,TAKEDOWN,24,SWEETSCENT,27,SYNTHESIS,30,WORRYSEED,33,DOUBLEEDGE,36,SOLARBEAM
#TutorMoves = AMNESIA,ATTRACT,BODYSLAM,BULLETSEED,CHARM,CUT,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,GIGADRAIN,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HELPINGHAND,HIDDENPOWER,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,POWERWHIP,PROTECT,REST,ROCKSMASH,ROUND,SAFEGUARD,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP
#EggMoves = AMNESIA,CHARM,CURSE,GRASSYTERRAIN,INGRAIN,LEAFSTORM,MAGICALLEAF,NATUREPOWER,PETALDANCE,POWERWHIP,SKULLBASH,SLUDGE
##EggGroups = Monster,Grass
#HatchSteps = 5120
#Height = 0.7
#Weight = 6.9
#Color = Green
#Shape = Quadruped
#Habitat = Grassland
#Category = Seed
#Pokedex = Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.
#Generation = 1
#Evolutions = IVYSAUR,Level,16
#-------------------------------
[MOLLUCOTTA]
Name = Mollucotta
Types = GRASS
BaseStats = 55,40,70,35,55,55
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 62
EVs = DEFENSE,1
CatchRate = 45
Happiness = 70
Abilities = OVERGROW
HiddenAbilities = MEGALAUNCHER
Moves = 1,WITHDRAW,1,TACKLE,6,ABSORB,9,MUDSLAP,12,GROWTH,15,MAGICALLEAF,18,ROLLOUT,21,ACIDARMOR,24,BODYSLAM,27,ROCKBLAST,30,EARTHPOWER,33,ENERGYBALL,36,SHELLSMASH,39,ANCIENTPOWER,42,LEAFSTORM
TutorMoves = ENERGYBALL,STRENGTH,HELPINGHAND,LIGHTSCREEN,SAFEGUARD,ALLYSWITCH,BODYPRESS,WORKUP,GRASSKNOT,DIG,BODYSLAM,METRONOME,GUNKSHOT,EARTHPOWER,GASTROACID,GRASSYGLIDE,GRASSPLEDGE,EXCITE,ROCKBLAST
EggMoves = ACIDSPRAY,MUDBOMB,POWERWHIP,RECOVER
EggGroups = Amorphous,Grass
HatchSteps = 5120
Height = 0.6
Weight = 13.2
Color = Yellow
Shape = HeadBase
Habitat = Grassland
Category = Planter
Pokedex = Evidence shows Mollucotta has existed on Earth for millennia, but scientists are unsure on its lineage. To protect themselves, they seek shelter in pottery.
Generation = 9
Evolutions = EXPURSUM,Level,16
#-------------------------------
[EXPURSUM]
Name = Expursum
Types = GRASS
BaseStats = 80,50,90,45,75,70
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 147
EVs = DEFENSE,1,SPECIAL_ATTACK,1
CatchRate = 45
Happiness = 70
Abilities = OVERGROW
HiddenAbilities = MEGALAUNCHER
Moves = 1,WITHDRAW,1,TACKLE,1,ABSORB,1,MUDSLAP,12,GROWTH,15,MAGICALLEAF,20,ROLLOUT,25,ACIDARMOR,30,BODYSLAM,35,ROCKBLAST,40,EARTHPOWER,45,ENERGYBALL,50,SHELLSMASH,55,ANCIENTPOWER,60,LEAFSTORM
TutorMoves = ENERGYBALL,STRENGTH,HELPINGHAND,TRIATTACK,LIGHTSCREEN,SAFEGUARD,ALLYSWITCH,BODYPRESS,WORKUP,BULKUP,DIG,BRICKBREAK,GRASSKNOT,BODYSLAM,GIGAIMPACT,BRUTALSWING,POISONJAB,METRONOME,GUNKSHOT,EARTHPOWER,GASTROACID,GRASSYGLIDE,GRASSPLEDGE,EXCITE,ROCKBLAST
EggGroups = Amorphous,Grass
HatchSteps = 5120
Height = 1.1
Weight = 35.4
Color = Green
Shape = Multiped
Habitat = Grassland
Category = Ranger
Pokedex = Expursum's repurposed pottery armor gives them the confidence to take on stronger foes. They seem to enjoy protecting and helping other Pokémon.
Generation = 9
Evolutions = GASTRONAUT,Level,36
#-------------------------------
[GASTRONAUT]
Name = Gastronaut
Types = GRASS,GROUND
BaseStats = 100,65,130,50,105,85
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 265
EVs = DEFENSE,2,SPECIAL_ATTACK,1
CatchRate = 45
Happiness = 70
Abilities = OVERGROW
HiddenAbilities = MEGALAUNCHER
Moves = 0,SLIMESHOT,1,SLIMESHOT,1,WITHDRAW,1,TACKLE,1,METEORBEAM,1,LOCKON,1,ABSORB,1,MUDSLAP,12,GROWTH,15,MAGICALLEAF,20,ROLLOUT,25,ACIDARMOR,30,BODYSLAM,35,ROCKBLAST,42,EARTHPOWER,49,ENERGYBALL,56,SHELLSMASH,63,ANCIENTPOWER,70,LEAFSTORM
TutorMoves = ENERGYBALL,STRENGTH,HELPINGHAND,TRIATTACK,LIGHTSCREEN,SAFEGUARD,DREAMEATER,ALLYSWITCH,BODYPRESS,WORKUP,BULKUP,DIG,BRICKBREAK,GRASSKNOT,BODYSLAM,GIGAIMPACT,BRUTALSWING,POISONJAB,HYPERBEAM,SOLARBEAM,EARTHQUAKE,SLUDGEBOMB,FOCUSBLAST,BULLETSEED,GYROBALL,METRONOME,GUNKSHOT,EARTHPOWER,GASTROACID,GRASSYGLIDE,GRASSPLEDGE,FRENZYPLANT,EXCITE,ROCKBLAST
EggGroups = Amorphous,Grass
HatchSteps = 5120
Height = 2.2
Weight = 130.6
Color = Green
Shape = Multiped
Habitat = Grassland
Category = Neoranger
Pokedex = Gastronaut is capable of launching energy-charged globs of slime from their modified arm cannon at high velocity. The slime is acidic and can even melt steel.
Generation = 9
#-------------------------------
[QUETZALIL]
Name = Quetzalil
Types = FIRE
BaseStats = 40,60,45,55,60,50
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 62
EVs = SPECIAL_ATTACK,1
CatchRate = 45
Happiness = 70
Abilities = BLAZE
HiddenAbilities = DANCER
Moves = 1,LEER,1,TACKLE,6,EMBER,9,PECK,12,ENCORE,15,FLAMEWHEEL,18,DRAGONBREATH,21,FLAMEBURST,24,FEATHERDANCE,27,WILLOWISP,30,DRAGONPULSE,33,FLAREBLITZ,36,ACROBATICS,39,DRAGONDANCE,42,OUTRAGE
